"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.5574934375909e-293,-1.05294749910919,0.194,0.708,1.23882086217339e-288,"0","IER2"
5.58962581701456e-293,-1.04115491540204,0.072,0.497,1.24598349087072e-288,"0","GADD45B"
1.44957148284228e-292,-1.35876526979707,0.083,0.517,3.23123979240373e-288,"0","IFI6"
1.53162578555002e-292,-0.757436664481731,0.068,0.493,3.41414703856955e-288,"0","SELENOF"
7.43283066564735e-292,-1.04398228859123,0.387,0.898,1.65685228367945e-287,"0","RPS25"
8.53238272102152e-292,-1.29531586127843,0.088,0.52,1.90195343234291e-287,"0","STK4"
3.4098580140128e-291,-0.717951796035435,0.07,0.496,7.60091449903593e-287,"0","DDOST"
1.61101686005505e-289,-0.840091940008423,0.1,0.547,3.59111768274871e-285,"0","PNN"
3.64930617469747e-289,-0.695609965639316,0.187,0.71,8.13466839401812e-285,"0","PNRC1"
1.07868377475871e-288,-1.74734741920881,0.054,0.454,2.40449400231464e-284,"0","ARL4C"
1.90512083384469e-288,-0.513891335565043,0.117,0.585,4.2467048507232e-284,"0","IQGAP1"
2.75089213669523e-288,-0.409405254940631,0.121,0.593,6.13201366190735e-284,"0","DPP7"
2.58411797494086e-286,-1.08063129355664,0.043,0.434,5.76025737794068e-282,"0","ACAA2"
2.59923193545619e-286,-1.37678945544921,0.032,0.413,5.79394790732539e-282,"0","RBMS1"
5.01452300763667e-285,-1.16305728304375,0.107,0.55,1.11778732363229e-280,"0","MAP3K8"
6.94027563914419e-285,-0.823947670374193,0.067,0.482,1.54705684272163e-280,"0","CD47"
1.42381678638436e-283,-0.55578527083565,0.159,0.656,3.17382999852938e-279,"0","ARGLU1"
2.37875138664704e-283,-0.701990831376456,0.059,0.465,5.30247471597491e-279,"0","M6PR"
2.95240529541227e-283,-0.948395426623192,0.076,0.494,6.58120664400348e-279,"0","ABHD17A"
1.80757237567013e-282,1.08366826911558,0.82,0.918,4.0292595826063e-278,"0","RPL7"
2.5585004765285e-282,-0.379967348391276,0.125,0.595,5.70315341222968e-278,"0","SRRM1"
4.58552487162122e-282,-1.70147015418444,0.053,0.446,1.02215934913309e-277,"0","RSRP1"
9.31194083181528e-282,-0.551293408801314,0.116,0.574,2.07572473081994e-277,"0","LAMTOR1"
2.81236032935295e-281,-0.540736172982065,0.118,0.578,6.26903241016067e-277,"0","MAP2K2"
6.52238248305153e-281,-0.65136199438102,0.23,0.778,1.45390427929702e-276,"0","CIRBP"
1.62751631059832e-280,-1.00919974164297,0.199,0.699,3.62789660795472e-276,"0","ENO1"
2.95565867713912e-280,-0.887175045973027,0.084,0.508,6.58845875721082e-276,"0","SERPINB1"
3.40889198457323e-280,-0.958934775819238,0.563,0.935,7.59876112281218e-276,"0","RPL14"
3.51626732849313e-278,-1.25317913524858,0.05,0.44,7.83811150194404e-274,"0","LEPROTL1"
4.74178109492408e-278,-0.595082569383913,0.076,0.495,1.05699042386953e-273,"0","SPCS3"
5.45996453819442e-278,-0.941583033287219,0.059,0.458,1.21708069520892e-273,"0","MYH9"
1.65153952433555e-277,-0.815995666583769,0.057,0.455,3.68144675369637e-273,"0","ATP1B3"
2.1353403962207e-277,-0.559446542223552,0.094,0.529,4.75988727721556e-273,"0","ACADVL"
7.43512280894325e-277,-0.711538249318106,0.066,0.473,1.65736322534154e-272,"0","RPL17"
1.01137927656091e-275,-1.35439662925538,0.045,0.429,2.25446554538192e-271,"0","ALDH2"
1.27195114900369e-275,1.23209653606733,0.787,0.55,2.83530630624412e-271,"0","KRT8"
8.71644488487586e-275,-0.866434605332405,0.072,0.48,1.94298272928768e-270,"0","SP100"
4.5866800750793e-274,-0.721674223669665,0.085,0.508,1.02241685553593e-269,"0","KLF3"
1.47151817101645e-273,-0.416597127850397,0.11,0.557,3.28016115501278e-269,"0","CAP1"
