"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.10189488589768e-97,6.66483977988052,0.047,0.001,4.68533389015451e-93,"2","FCAR"
1.43586781773073e-84,6.4784910623669,0.041,0.001,3.20069295250358e-80,"2","AL390036.1"
0,6.29796152076351,0.155,0.002,0,"2","AL356417.3"
6.95064775300554e-115,6.12046791473622,0.055,0.001,1.54936889062247e-110,"2","S100A12"
3.669905764372e-105,5.8807271099671,0.053,0.001,8.18058693936163e-101,"2","ZNF804A"
0,9.86647970042633,0.156,0,0,"3","ELFN1"
2.48275669909871e-311,9.7682242778073,0.137,0,5.53431295796094e-307,"3","MEOX2"
1.2074864748239e-238,9.74612418447825,0.105,0,2.69160810102996e-234,"3","SERPINB7"
8.34194269581583e-302,9.69131644777288,0.133,0,1.85950244632431e-297,"3","GPR1"
1.81117249699451e-276,9.58716475363666,0.122,0,4.03728461305047e-272,"3","HOXD-AS2"
0,9.40244679299898,0.184,0,0,"3","CA9"
3.77566158160592e-270,9.31252598626099,0.119,0,8.41632723155776e-266,"3","CCDC8"
1.20748643640594e-238,9.20993497635338,0.105,0,2.69160801539249e-234,"3","SCN2A"
1.50273198699988e-236,9.17132258124238,0.104,0,3.34973987222143e-232,"3","CPA1"
1.50739546074674e-213,9.15333640624583,0.094,0,3.36013522155056e-209,"3","AC010980.2"
1.08962192630496e-29,7.7718035092873,0.013,0,2.42887623592638e-25,"4","TRAV8-2"
4.3668691448583e-69,7.40524261323868,0.036,0.001,9.73418801080363e-65,"4","C15orf53"
4.99207059890263e-36,6.6415537522714,0.017,0,1.11278245720139e-31,"4","NEFL"
5.19323918992267e-50,6.18289535132281,0.029,0.001,1.15762494782566e-45,"4","PROK2"
0,6.10417475263088,0.321,0.009,0,"4","CD8B"
4.83766143439828e-36,5.66991691368093,0.019,0.001,1.07836311034172e-31,"4","MEOX1"
4.79707630617126e-36,5.66882574998673,0.019,0.001,1.06931627940864e-31,"4","AC005842.1"
7.61938104755893e-233,5.47443170369371,0.122,0.003,1.69843622931136e-228,"4","LINC02446"
0,5.37870924122057,0.821,0.036,0,"4","CD3D"
0,5.36794579484828,0.743,0.038,0,"4","TRAC"
2.55618383131604e-32,8.31039022864984,0.012,0,5.69798937838658e-28,"5","CFAP47"
2.55618383131604e-32,7.55154876842029,0.012,0,5.69798937838658e-28,"5","RFX6"
4.77516306111074e-12,6.76219166665049,0.01,0.001,1.0644315979522e-07,"5","C1orf158"
2.81338422652436e-19,6.63516610093085,0.01,0,6.27131477934545e-15,"5","PXDNL"
5.34889621813051e-24,6.4849664321547,0.012,0,1.19232245598347e-19,"5","DNER"
1.40670106066821e-32,6.43696392012958,0.014,0,3.1356773343355e-28,"5","CCK"
2.00363461341886e-37,6.30389189820926,0.014,0,4.46630191677199e-33,"5","LINC02532"
1.39141804236345e-22,6.12723843928346,0.01,0,3.10160995823238e-18,"5","LDLRAD1"
3.29982746162983e-27,6.09426587142519,0.01,0,7.35564539471906e-23,"5","AC104461.1"
1.67188129307553e-25,6.08675652051959,0.016,0,3.72679059039467e-21,"5","C8orf34"
3.54692950836213e-106,10.5247596955507,0.05,0,7.90646056709001e-102,"6","CCL22"
1.74622948963658e-189,9.91468485060393,0.104,0.001,3.89252015534891e-185,"6","CCL19"
1.19568152334033e-312,9.59996334183846,0.133,0,2.66529368367792e-308,"6","HLA-DQB2"
1.82541532346322e-30,8.73651705979309,0.017,0,4.06903329753187e-26,"6","ELAVL4"
0,8.6041386346606,0.462,0.002,0,"6","CD1E"
1.07278305398849e-34,8.47486278213286,0.013,0,2.39134070564573e-30,"6","AP001636.3"
7.83985870107175e-155,8.42200226417405,0.075,0,1.7475829030559e-150,"6","CD1B"
5.83863425639816e-75,8.37188596546842,0.038,0,1.30148996209371e-70,"6","IDO2"
7.4927184361732e-250,8.28794760865638,0.129,0.001,1.67020186660737e-245,"6","IDO1"
4.05794252758574e-26,8.07890721836446,0.013,0,9.04555968824138e-22,"6","C17orf99"
4.86532557859238e-33,13.1822027736033,0.021,0,1.08452972472403e-28,"7","IGLV1-40"
0,11.3604866905625,0.307,0,0,"7","IGHD"
5.41060369165888e-106,10.8222789363498,0.063,0.001,1.20607766890768e-101,"7","IGLL5"
1.34322866989155e-169,10.8152113210281,0.063,0,2.99419102805524e-165,"7","AC097375.1"
0,10.6476477029577,0.254,0,0,"7","SHD"
9.06434630843971e-44,10.5315226367248,0.016,0,2.0205334356143e-39,"7","COL4A3"
0,10.3714279075547,0.275,0,0,"7","CLEC4C"
1.55792893686601e-206,10.2976702410285,0.095,0,3.47277939316802e-202,"7","FCRL1"
9.06434630843971e-44,10.2375161629579,0.016,0,2.0205334356143e-39,"7","AC104024.1"
6.14539607287773e-33,10.1523251463721,0.016,0,1.36987023860518e-28,"7","SCN3A"
